date,state,positive,new_positive,negative,death,new_death,hospitalized
20200722,Indiana,58673,757,595740,2863,17,8020
20200722,Kansas,24104,770,244582,308,1,1545
20200722,Kentucky,24540,480,494535,677,3,2914
20200722,Louisiana,99354,2771,1053547,3670,62,
20200722,Massachusetts,114320,287,955742,8468,18,11761
20200722,Maryland,80172,627,702661,3405,3,11997
20200722,Maine,3723,0,141295,118,0,377
20200722,Michigan,83730,671,1475883,6388,6,
20200722,Minnesota,47961,504,840590,1592,4,4771
20200722,Missouri,36063,1301,553397,1159,16,
20200722,MP,38,0,12707,2,0,4
20200722,Mississippi,47071,1547,355959,1423,34,3844
20200722,Montana,2813,101,140705,42,2,179
20200722,North Carolina,105001,2140,1386819,1698,30,
20200722,North Dakota,5367,160,133899,88,4,317
20200722,Nebraska,23190,343,219431,310,4,1508
20200722,New Hampshire,6262,13,139276,400,2,677
20200722,New Jersey,177645,389,1663284,15707,-30,21184
20200722,New Mexico,17517,302,464014,588,10,2433
20200722,Nevada,38657,1129,365651,704,28,
20200722,New York,408886,705,4889754,25068,10,89995
20200722,Ohio,78742,1527,1142853,3235,16,9864
20200722,Oklahoma,27301,975,478297,474,13,2540
20200722,Oregon,15393,254,337401,269,0,1433
20200722,Pennsylvania,103396,631,968081,7063,25,
20200722,Puerto Rico,13038,98,255766,185,5,
20200722,Rhode Island,18062,76,168794,997,1,2127
20200722,South Carolina,75042,1705,534118,1285,64,4498
20200722,South Dakota,8077,58,92981,119,1,790
20200722,Tennessee,84417,2473,1179411,888,17,3907
20200722,Texas,351618,9879,2752530,4348,197,
20200722,Utah,35578,566,445824,260,9,2135
20200722,Virginia,80393,1022,873794,2051,3,11488
20200722,Virgin Islands,320,12,7146,7,1,
20200722,Vermont,1366,0,84376,56,0,
20200722,Washington,48575,832,792609,1465,12,5161
20200722,Wisconsin,48583,747,764630,872,6,4225
20200722,West Virginia,5206,7,237181,101,0,
20200722,Wyoming,2288,50,41927,25,0,152
